fs_method,top_k,n_past,activation,RMSE,MAE,MAPE
rf,5,60,tanh,0.01896570810242486,0.012593702328296503,179.15433202811298
rf,10,60,tanh,0.01901968720009215,0.012651224046120166,201.97768348812005
mi,3,10,relu,0.019073687646918337,0.012699551654547054,169.83189645433882
manual,3,20,relu,0.019119781343592112,0.01214875449866778,155.8253790676804
corr,3,20,selu,0.01914914892140493,0.012727087895871651,150.40980871066336
rf,5,40,tanh,0.019168864427909948,0.012372362464965276,168.096990144725
corr,5,40,tanh,0.019207952900966548,0.012269716001749023,141.92639307641915
rf,3,10,tanh,0.019257371753067534,0.014507865955522337,163.19190809694152
corr,3,20,tanh,0.019278247345134777,0.012472453746846874,245.28479873769012
manual,3,60,relu,0.019285291005794056,0.014794408003310392,160.608780438447
manual,3,40,tanh,0.019287857632498878,0.012847300331568574,137.37046267406686
mi,5,60,tanh,0.019292358512857898,0.01377787198219525,204.01127778844548
mi,5,10,tanh,0.019304821426388785,0.012334302285260005,206.65718008394515
mi,10,40,tanh,0.01931340232175163,0.01275216661704592,144.34055949541346
rf,10,20,tanh,0.01931362409148665,0.012139212111691599,139.15747902342147
rf,10,10,tanh,0.019322055179354196,0.012224250566798883,144.96565783755076
mi,5,40,tanh,0.019325702724453515,0.012184822994701604,136.4076227706135
mi,3,40,tanh,0.019327366956435155,0.012415652879317974,238.5938830001543
corr,5,60,tanh,0.019337606229740595,0.012149860425550371,152.9678164143245
manual,3,60,tanh,0.019348729583941234,0.012270252421645592,126.35183588769088
corr,3,20,relu,0.019362815677598528,0.012814714506476924,154.4677122847925
mi,3,20,relu,0.019379756414391328,0.013320045012630236,176.5743571639336
rf,3,10,selu,0.019386176702130737,0.012346690680738445,144.89971768713215
rf,3,10,relu,0.01938773804721302,0.011928901099287514,154.42544237974167
corr,3,40,tanh,0.019390615613807134,0.01262145491175235,181.6720581145243
manual,3,10,relu,0.01940573606694186,0.012452184883372533,147.70625041311732
mi,10,20,relu,0.01940834404196258,0.014015174528682861,205.96523508289084
corr,3,10,selu,0.019411831188221353,0.012476000664363808,156.15354164505882
rf,3,60,selu,0.019414152254394166,0.01220455635256194,158.0420903109276
manual,3,40,relu,0.019419375295071154,0.01226118787846102,136.04082555752655
rf,10,20,relu,0.019431652852002875,0.013183608463399464,167.23138292893242
rf,3,60,relu,0.019439093329627954,0.014712865762344074,159.57480772667296
mi,10,60,tanh,0.019454868448150867,0.015431330919423187,159.22133227533166
rf,3,40,relu,0.01948924977236913,0.012609506477826092,140.71236737852246
corr,10,60,tanh,0.019489920943552008,0.012774353526903794,165.28980324930237
corr,5,20,tanh,0.019499375981237646,0.012235055279335567,139.70853801521693
mi,3,20,selu,0.01950566666873055,0.012455614147589406,153.7828501923094
corr,3,60,selu,0.019505765416585746,0.012346147571511768,152.5923350683486
rf,3,40,selu,0.019546329954853173,0.0135893410857924,161.66462039521676
mi,3,10,tanh,0.019558129378037803,0.012299313269340905,190.12808605191225
mi,10,40,selu,0.019562642954038208,0.014489510432325006,146.81902787335702
rf,3,20,relu,0.019566516956986937,0.012595499705736927,161.48308205990415
corr,10,60,selu,0.019571972503808467,0.012789250575671523,176.93801379839627
corr,5,10,selu,0.019574213928792834,0.012360583651672231,163.51306640891417
rf,5,10,tanh,0.019581414198121,0.013394197169601435,192.67213241809696
rf,3,20,selu,0.01959153575553263,0.012358548256283063,136.26013473156516
corr,10,20,selu,0.01960964446382451,0.013433708120124057,218.0554791142401
rf,10,40,tanh,0.019614597487536547,0.013243836905083026,152.49636680568528
corr,3,40,selu,0.01963423268445712,0.012543465690050321,147.07824678553442
rf,5,20,selu,0.0196407667330974,0.012599248531821585,184.28017086199188
manual,3,40,selu,0.019651631180435485,0.012672197239731354,155.50674397767193
corr,5,40,relu,0.0196855861298931,0.012435554245067247,155.0636288740194
manual,3,20,selu,0.01971175983617118,0.013405363206653035,155.01711443030047
corr,5,20,selu,0.0197246417779417,0.014124386897582207,145.03777848085548
mi,10,10,selu,0.01973733330866771,0.013112859818242027,141.91741388414724
rf,10,10,relu,0.01973774072126581,0.013713484792636125,177.09270231585398
corr,5,10,tanh,0.01974192088783076,0.012469692049442524,150.70578446591884
mi,10,20,tanh,0.019749393621627122,0.012359986653936693,217.0211510949675
corr,5,20,relu,0.0197728058190755,0.013693381074210137,182.45304847281403
corr,10,60,relu,0.019776090419915633,0.015225600642816143,246.2302404401367
mi,10,20,selu,0.01979831029111579,0.013538774330671766,157.57432583102405
mi,5,10,selu,0.01981285765866423,0.014311860628503087,179.5275327999521
corr,3,60,tanh,0.019814387519880777,0.01253583139468688,162.2453864901053
rf,10,10,selu,0.01981567344369416,0.012737305749606818,230.78628011461734
manual,3,60,selu,0.0198409114889065,0.012173657894053988,137.18794777137765
rf,5,60,relu,0.01986515633228271,0.012680597320911292,158.99948170128997
corr,10,20,tanh,0.019869765644765017,0.01237444038923753,140.88310845256612
mi,5,10,relu,0.019906432553878698,0.01357281730478177,202.1162087869527
corr,3,10,tanh,0.019906843068186148,0.01398854462179246,160.378335700521
rf,10,40,selu,0.01990718315267971,0.016027557102604548,161.0390773487678
rf,10,60,relu,0.019936067008884395,0.013042986459263793,265.8742959660845
rf,5,10,selu,0.01994093980253529,0.012992651083934766,168.0128275329271
manual,3,10,selu,0.01994635573336693,0.012397323450576772,127.32459354663585
manual,3,10,tanh,0.019974542134510803,0.01246894226034464,160.2909999672488
corr,10,20,relu,0.019981746134957158,0.016043831447194228,266.8052613623538
rf,5,20,tanh,0.020011905522107246,0.012521506130873768,163.9655943704166
rf,5,60,selu,0.020168933531124037,0.012480794864913693,152.17889756600005
rf,10,60,selu,0.020293683366495688,0.015653004995784387,192.73597336807427
mi,3,40,selu,0.020313254145189228,0.01314338445899919,138.73107990381226
mi,5,20,selu,0.020343832546759665,0.01305877864347512,141.9037484360451
corr,10,40,tanh,0.020367577702354756,0.014861354908180899,201.23490064736407
mi,3,60,tanh,0.02039875258368858,0.01277997785404114,132.1643497692102
rf,3,40,tanh,0.020439206973409285,0.012623434382313652,150.57594831125974
rf,5,40,selu,0.020466002431601432,0.01293848776762876,186.8620657967166
mi,10,60,selu,0.020506578194016398,0.015411265617561617,202.477854024874
mi,3,10,selu,0.020620235980059583,0.01276348836811502,138.5440080696035
mi,5,20,relu,0.020733228312417973,0.01276530605811366,135.83391460451008
rf,10,20,selu,0.020741621473529124,0.015399034233256071,172.68313028481893
rf,3,60,tanh,0.020758812507943262,0.01423758842817241,141.74105608984001
corr,5,10,relu,0.020763393922015382,0.013123324129335465,235.83263484979207
corr,10,10,selu,0.020809442532100778,0.01565345809132433,198.17854356720025
rf,5,20,relu,0.02082477829756463,0.017243392558062585,166.85732871139024
corr,10,40,relu,0.02090398665330725,0.015562675667143649,141.5120202054132
mi,10,10,relu,0.02091138786353294,0.015360571670226239,261.7974189977398
mi,10,40,relu,0.020954877115962823,0.013553106264396656,158.64684994960646
corr,5,40,selu,0.02098819984352019,0.015618242099660059,149.93382087688633
mi,3,20,tanh,0.02100953505057607,0.012941006423685345,182.78023456643666
mi,5,20,tanh,0.021033126171043557,0.014043160900443693,138.80108818363962
corr,3,10,relu,0.021070680274379427,0.013440830523468006,179.52290982226745
corr,5,60,selu,0.021073904613791574,0.016174274826149592,161.2168915436079
corr,3,40,relu,0.021128231128538205,0.014668879185712419,184.86746722565059
rf,3,20,tanh,0.021138671520476222,0.013736485793290006,153.4099352623298
mi,10,10,tanh,0.021185770435427322,0.016005573417510334,187.6619792715334
rf,5,40,relu,0.02119748910141643,0.016112326119248184,177.3190426994228
rf,5,10,relu,0.02121493826844624,0.014663942502225615,212.34190858428627
manual,3,20,tanh,0.021261889508691678,0.013317717066135595,149.8669539600382
mi,5,40,selu,0.02131889928009963,0.01586048911698564,184.73645634103525
mi,3,60,selu,0.021370319252593584,0.016289957075969055,150.3492698336036
corr,10,10,relu,0.021564551373246078,0.016105614379388716,165.3616810629283
corr,3,60,relu,0.02169239666600457,0.014532809681138771,225.14786273561788
mi,5,40,relu,0.02179053712821055,0.015293466402890424,155.60146164736057
corr,5,60,relu,0.02189770908582522,0.016645171947018044,188.6851228150902
rf,10,40,relu,0.02195369227366577,0.01710675343799032,191.13222400745647
mi,5,60,relu,0.022023471119279367,0.01696315421195608,143.55467666661787
mi,3,40,relu,0.02244184655626862,0.016793725603634655,157.03766549974628
mi,5,60,selu,0.022693095223086327,0.017687841434947348,279.72219066977925
corr,10,10,tanh,0.023769140094967705,0.015981513385736158,230.81589433716792
corr,10,40,selu,0.025606636116701664,0.019639991418231865,204.1950541336981
mi,3,60,relu,0.026070872583821635,0.02011694697904058,226.3307010654578
mi,10,60,relu,0.02979727580729353,0.022427064394097553,237.44976686589766
